2,1
3,1
4,1
5,1
6,8
7,9
8,10
9,18
10,20
11,30
12,28
13,32
14,32
15,48
16,47
17,46
18,66
19,56
20,60
21,67
22,83
23,84
24,81
25,100
26,86
27,128
28,114
29,106
30,108
31,125
32,126
33,159
34,147
35,150
36,162
37,151
38,172
39,155
40,170
41,185
42,215
43,218
44,230
45,202
46,210
47,238
48,279
49,240
50,217
51,290
52,239
53,256
54,282
55,297
56,345
57,355
58,326
59,294
60,310
61,388
62,315
63,339
64,453
65,400
66,384
67,442
68,522
69,399
70,361
71,429
72,373
73,409
74,443
75,527
76,379
77,416
78,455
79,631
80,460
81,530
82,513
83,512
84,449
85,558
86,643
87,455
88,563
89,733
90,573
91,559
92,826
93,530
94,828
95,574
96,594
97,543
98,578
99,667
100,579
101,628
102,645
103,708
104,683
105,814
106,815
107,678
108,641
109,848
110,834
111,657
112,653
113,724
114,768
115,858
116,742
117,778
118,763
119,1047
120,786
121,864
122,821
123,791
124,911
125,858
126,1080
127,919
128,924
129,798
130,1048
131,921
132,817
133,873
134,944
135,945
136,919
137,890
138,924
139,833
140,934
141,1032
142,1033
143,1090
144,1209
145,1078
146,1237
147,1048
148,1124
149,968
150,962
151,996
152,1099
153,1361
154,1167
155,1207
156,1518
157,1143
158,1130
159,1257
160,1057
161,1077
162,1032
163,1253
164,1242
165,1190
166,1105
167,1240
168,1143
169,1446
170,1361
171,1618
172,1259
173,1446
174,1384
175,1167
176,1272
177,1299
178,1375
179,1807
180,1375
181,1464
182,1266
183,1213
184,1466
185,1447
186,1330
187,1587
188,1455
189,1407
190,1453
191,1560
192,1380
193,1444
194,1423
195,1619
196,1411
197,1436
198,1576
199,1616
200,1683
201,1549
202,1830
203,1501
204,1448
205,1511
206,1717
207,1551
208,1760
209,1835
210,1688
211,1681
212,1789
213,1701
214,1553
215,1685
216,1918
217,1641
218,1829
219,1590
220,1584
221,1754
222,1797
223,2260
224,1788
225,1961
226,1768
227,1915
228,1639
229,1799
230,1820
231,2005
232,1671
233,1908
234,2068
235,2024
236,1736
237,1948
238,1946
239,1867
240,1957
241,1902
242,1863
243,2111
244,1789
245,2156
246,2358
247,2211
248,1984
249,2204
250,2227
251,2045
252,2230
253,2007
254,2482
255,2152
256,2260
257,2023
258,2172
259,1983
260,2162
261,2290
262,2444
263,2113
264,2394
265,2481
266,2661
267,2497
268,2052
269,2078
270,2100
271,2470
272,2609
273,2342
274,2497
275,2283
276,2558
277,2218
278,2387
279,2274
280,2651
281,2263
282,2340
283,2576
284,2435
285,2259
