100,329.520000
3430,9921.520000
6760,19482.200000
10090,29168.560000
13420,39383.700000
16750,49673.280000
20080,83764.120000
23410,67847.440000
26740,78176.780000
30070,87808.180000
33400,103428.580000
36730,108803.720000
40060,117684.520000
43390,126962.840000
46720,136254.740000
50050,146597.600000
53380,158737.140000
56710,167693.820000
60040,176862.100000
63370,185786.820000
66700,197121.380000
70030,207651.320000
73360,216129.600000
76690,225462.780000
80020,236310.860000
83350,279861.480000
86680,257808.960000
90010,269591.560000
93340,277685.660000
96670,289460.360000
